run,tag,step,value
PPO_1,rollout/ep_len_mean,8929280,686.4000244140625
PPO_1,rollout/ep_len_mean,9011200,682.7999877929688
PPO_1,rollout/ep_len_mean,9093120,684.7899780273438
PPO_1,rollout/ep_len_mean,9175040,686.72998046875
PPO_1,rollout/ep_len_mean,9256960,686.4099731445312
PPO_1,rollout/ep_len_mean,9338880,686.1099853515625
PPO_1,rollout/ep_len_mean,9420800,686.4099731445312
PPO_1,rollout/ep_len_mean,9502720,684.8300170898438
PPO_1,rollout/ep_len_mean,9584640,684.5399780273438
PPO_1,rollout/ep_len_mean,9666560,687.8800048828125
PPO_1,rollout/ep_len_mean,9748480,687.1199951171875
PPO_1,rollout/ep_len_mean,9830400,686.1099853515625
PPO_1,rollout/ep_len_mean,9912320,685.0900268554688
PPO_1,rollout/ep_len_mean,9994240,687.2000122070312
PPO_1,rollout/ep_len_mean,10076160,685.9199829101562
PPO_1,rollout/ep_len_mean,10158080,684.0999755859375
PPO_1,rollout/ep_len_mean,10240000,688.9299926757812
PPO_1,rollout/ep_len_mean,10321920,684.030029296875
PPO_1,rollout/ep_len_mean,10403840,686.3499755859375
PPO_1,rollout/ep_len_mean,10485760,685.3300170898438
PPO_1,rollout/ep_rew_mean,81920,-784.2804565429688
PPO_1,rollout/ep_rew_mean,163840,34.773197174072266
PPO_1,rollout/ep_rew_mean,245760,77.5029525756836
PPO_1,rollout/ep_rew_mean,327680,135.6481475830078
PPO_1,rollout/ep_rew_mean,409600,145.74874877929688
PPO_1,rollout/ep_rew_mean,491520,150.92794799804688
PPO_1,rollout/ep_rew_mean,573440,153.8983154296875
PPO_1,rollout/ep_rew_mean,655360,159.8090057373047
PPO_1,rollout/ep_rew_mean,737280,160.28436279296875
PPO_1,rollout/ep_rew_mean,819200,159.62710571289062
PPO_1,rollout/ep_rew_mean,901120,162.4471893310547
PPO_1,rollout/ep_rew_mean,983040,165.41241455078125
PPO_1,rollout/ep_rew_mean,1064960,158.8737335205078
PPO_1,rollout/ep_rew_mean,1146880,163.28811645507812
PPO_1,rollout/ep_rew_mean,1228800,163.54397583007812
PPO_1,rollout/ep_rew_mean,1310720,166.3491668701172
PPO_1,rollout/ep_rew_mean,1392640,169.7353973388672
PPO_1,rollout/ep_rew_mean,1474560,171.6226043701172
PPO_1,rollout/ep_rew_mean,1556480,169.3115692138672
PPO_1,rollout/ep_rew_mean,1638400,172.61727905273438
PPO_1,rollout/ep_rew_mean,1720320,173.11106872558594
PPO_1,rollout/ep_rew_mean,1802240,170.93252563476562
PPO_1,rollout/ep_rew_mean,1884160,180.93646240234375
PPO_1,rollout/ep_rew_mean,1966080,174.03294372558594
PPO_1,rollout/ep_rew_mean,2048000,178.49542236328125
PPO_1,rollout/ep_rew_mean,2129920,176.61538696289062
PPO_1,rollout/ep_rew_mean,2211840,179.1641387939453
PPO_1,rollout/ep_rew_mean,2293760,178.33877563476562
PPO_1,rollout/ep_rew_mean,2375680,176.82772827148438
PPO_1,rollout/ep_rew_mean,2457600,181.0739288330078
PPO_1,rollout/ep_rew_mean,2539520,179.8478546142578
PPO_1,rollout/ep_rew_mean,2621440,180.3709716796875
PPO_1,rollout/ep_rew_mean,2703360,177.9429473876953
PPO_1,rollout/ep_rew_mean,2785280,171.93235778808594
PPO_1,rollout/ep_rew_mean,2867200,178.11158752441406
PPO_1,rollout/ep_rew_mean,2949120,180.95359802246094
PPO_1,rollout/ep_rew_mean,3031040,174.63839721679688
PPO_1,rollout/ep_rew_mean,3112960,179.76336669921875
PPO_1,rollout/ep_rew_mean,3194880,182.16275024414062
PPO_1,rollout/ep_rew_mean,3276800,180.5443115234375
PPO_1,rollout/ep_rew_mean,3358720,179.2629852294922
PPO_1,rollout/ep_rew_mean,3440640,174.9068603515625
PPO_1,rollout/ep_rew_mean,3522560,184.1637725830078
PPO_1,rollout/ep_rew_mean,3604480,178.97836303710938
PPO_1,rollout/ep_rew_mean,3686400,178.1819610595703
PPO_1,rollout/ep_rew_mean,3768320,182.92486572265625
PPO_1,rollout/ep_rew_mean,3850240,182.97564697265625
PPO_1,rollout/ep_rew_mean,3932160,180.57522583007812
PPO_1,rollout/ep_rew_mean,4014080,182.19432067871094
PPO_1,rollout/ep_rew_mean,4096000,180.85870361328125
PPO_1,rollout/ep_rew_mean,4177920,182.66065979003906
PPO_1,rollout/ep_rew_mean,4259840,181.79425048828125
PPO_1,rollout/ep_rew_mean,4341760,181.92958068847656
PPO_1,rollout/ep_rew_mean,4423680,182.59317016601562
PPO_1,rollout/ep_rew_mean,4505600,182.69923400878906
PPO_1,rollout/ep_rew_mean,4587520,178.31808471679688
PPO_1,rollout/ep_rew_mean,4669440,182.73147583007812
PPO_1,rollout/ep_rew_mean,4751360,183.13340759277344
PPO_1,rollout/ep_rew_mean,4833280,181.32225036621094
PPO_1,rollout/ep_rew_mean,4915200,181.7085723876953
PPO_1,rollout/ep_rew_mean,4997120,180.27232360839844
PPO_1,rollout/ep_rew_mean,5079040,183.20957946777344
PPO_1,rollout/ep_rew_mean,5160960,181.5162353515625
PPO_1,rollout/ep_rew_mean,5242880,179.99588012695312
PPO_1,rollout/ep_rew_mean,5324800,178.97128295898438
PPO_1,rollout/ep_rew_mean,5406720,180.32798767089844
PPO_1,rollout/ep_rew_mean,5488640,180.2634735107422
PPO_1,rollout/ep_rew_mean,5570560,179.91136169433594
PPO_1,rollout/ep_rew_mean,5652480,182.3690948486328
PPO_1,rollout/ep_rew_mean,5734400,177.62469482421875
PPO_1,rollout/ep_rew_mean,5816320,185.93124389648438
PPO_1,rollout/ep_rew_mean,5898240,177.49964904785156
PPO_1,rollout/ep_rew_mean,5980160,184.63360595703125
PPO_1,rollout/ep_rew_mean,6062080,182.5134735107422
PPO_1,rollout/ep_rew_mean,6144000,180.52197265625
PPO_1,rollout/ep_rew_mean,6225920,189.10035705566406
PPO_1,rollout/ep_rew_mean,6307840,183.3162384033203
PPO_1,rollout/ep_rew_mean,6389760,180.4001007080078
PPO_1,rollout/ep_rew_mean,6471680,182.7124786376953
PPO_1,rollout/ep_rew_mean,6553600,173.77809143066406
PPO_1,rollout/ep_rew_mean,6635520,185.21678161621094
